label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
migmatite lithology in British Columbia	average magnetic susceptibility migmatite	0.0039	0.00207	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00040 SI magnetic susceptibility, max susceptibility is 0.00584 SI magnetic susceptibility"	
migmatite lithology in Thuya Batholith	average  Magnetic_Susceptibility for migmatite in the Thuya Batholith	0.0039	0.00207	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00040  SI magnetic susceptibility, max susceptibility is 0.00584  SI magnetic susceptibility"	Thuya Batholith
monzodioritic_rock lithology in Ashman Formation	average  Magnetic_Susceptibility for monzodioritic_rock in the Ashman Formation	0.0129	0.007	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00039  SI magnetic susceptibility, max susceptibility is 0.01620  SI magnetic susceptibility"	Ashman Formation
monzodioritic_rock lithology in British Columbia	average magnetic susceptibility monzodioritic_rock	0.02258	0.02018	117	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 117 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.10700 SI magnetic susceptibility"	
monzodioritic_rock lithology in British Columbia	average magnetic susceptibility monzodioritic_rock	0.06251	0.03561	12	SAPPHIRE SI2B MS METER	"average value and standard deviation from 12 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00291 SI magnetic susceptibility, max susceptibility is 0.12800 SI magnetic susceptibility"	
monzodioritic_rock lithology in British Columbia	average density of unaltered monzodioritic_rock	2.81	0.09	20	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 20 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.68 g/cm3, max density is 2.97 g/cm3"	
monzodioritic_rock lithology in British Columbia	average magnetic susceptibility monzodioritic_rock	0.01258	0.01518	8	GF INSTRUMENTS SM-20	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00039 SI magnetic susceptibility, max susceptibility is 0.04700 SI magnetic susceptibility"	
monzodioritic_rock lithology in Brooks Diorite complex	average  Magnetic_Susceptibility for monzodioritic_rock in the Brooks Diorite complex	0.02264	0.02625	8	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00085  SI magnetic susceptibility, max susceptibility is 0.07530  SI magnetic susceptibility"	Brooks Diorite complex
monzodioritic_rock lithology in Hazelton Group	average  Magnetic_Susceptibility for monzodioritic_rock in the Hazelton Group	0.03651	0.01777	9	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.01010  SI magnetic susceptibility, max susceptibility is 0.06510  SI magnetic susceptibility"	
monzodioritic_rock lithology in Limit Lake Phs	average  Magnetic_Susceptibility for monzodioritic_rock in the Limit Lake Phs	0.0238	0.0173	25	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 25 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00204  SI magnetic susceptibility, max susceptibility is 0.08670  SI magnetic susceptibility"	Limit Lake Phs
monzodioritic_rock lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for monzodioritic_rock in the Ootsa Lake Group	0.00686	0.00583	7	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.01380  SI magnetic susceptibility"	
monzodioritic_rock lithology in Peach Lake Intrusive suite	average  Density for monzodioritic_rock in the Peach Lake Intr Suite	2.78	0.02	4	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.75  g/cm3, max susceptibility is 2.79  g/cm3"	Peach Lake Intr Suite
monzodioritic_rock lithology in Peach Lake Intrusive suite	average  Magnetic_Susceptibility for monzodioritic_rock in the Peach Lake Intr Suite	0.0877	0.01737	4	SAPPHIRE SI2B MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.06570  SI magnetic susceptibility, max susceptibility is 0.10500  SI magnetic susceptibility"	Peach Lake Intr Suite
monzodioritic_rock lithology in Sheraton Phs	average  Magnetic_Susceptibility for monzodioritic_rock in the Sheraton Phs	0.0108	0.01186	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00051  SI magnetic susceptibility, max susceptibility is 0.02790  SI magnetic susceptibility"	Sheraton Phs
monzodioritic_rock lithology in Stellako Phs	average  Magnetic_Susceptibility for monzodioritic_rock in the Stellako Phs	0.03942	0.02811	9	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.01640  SI magnetic susceptibility, max susceptibility is 0.10700  SI magnetic susceptibility"	Stellako Phs
monzodioritic_rock lithology in Takomkane Batholith	average  Magnetic_Susceptibility for monzodioritic_rock in the Takomkane Batholith	0.0455	0.01426	4	SAPPHIRE SI2B MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.02930  SI magnetic susceptibility, max susceptibility is 0.06390  SI magnetic susceptibility"	Takomkane Batholith
monzodioritic_rock lithology in Takomkane Batholith	average  Density for monzodioritic_rock in the Takomkane Batholith	2.82	0.03	5	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.79  g/cm3, max susceptibility is 2.85  g/cm3"	Takomkane Batholith
monzodioritic_rock lithology in Thuya Batholith	average  Magnetic_Susceptibility for monzodioritic_rock in the Thuya Batholith	0.00497	0.0025	14	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 14 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00024  SI magnetic susceptibility, max susceptibility is 0.00919  SI magnetic susceptibility"	Thuya Batholith
monzonitic_rock lithology in British Columbia	average magnetic susceptibility monzonitic_rock	0.00468	0.01317	15	GF INSTRUMENTS SM-20	"average value and standard deviation from 15 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004 SI magnetic susceptibility, max susceptibility is 0.05160 SI magnetic susceptibility"	
monzonitic_rock lithology in British Columbia	average density of unaltered monzonitic_rock	2.71	0.12	15	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 15 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.52 g/cm3, max density is 2.98 g/cm3"	
